"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31791","Search SUV diesel cabs from Mumbai to Pune","","2026-05-23","passed","2026-05-23","","","",""
"","19728","Search is blocked when drop city is typed but not selected","","2026-05-23","passed","2026-05-23","","","",""
"","54792","End to end one-way cab UPI QR flow for Delhi to Agra","","2026-05-23","passed","2026-05-23","","","",""
"","29344","Search AC cabs from Delhi to Chandigarh","","2026-05-23","passed","2026-05-23","","","",""
"","24124","Search sedan diesel cabs from Delhi to Agra","","2026-05-23","passed","2026-05-23","","","",""
"","14070","Search is blocked when drop city is missing","","2026-05-23","passed","2026-05-23","","","",""
"","20282","Search petrol Innova Crysta cabs from Jaipur to Ajmer","","2026-05-23","passed","2026-05-23","","","",""
"","19568","Search electric cabs from Bangalore to Mysuru","","2026-05-23","passed","2026-05-23","","","",""
